time,seconds_elapsed,magneticBearing
1740580687708397300,2501.341397216797,17.871606615024387
1740580687803397000,2501.4363972167966,16.92684113327035
1740580687898397200,2501.531397216797,16.64075195594227
1740580687993397200,2501.6263972167967,15.936558182516452
1740580688088397300,2501.721397216797,14.759143272952775
1740580688183397000,2501.8163972167968,13.590432010603136
1740580688278397200,2501.911397216797,12.59316327692274
1740580688373397200,2502.006397216797,11.812133573541747
1740580688468397300,2502.101397216797,10.732368036763223
1740580688563397000,2502.196397216797,10.094678486501719
1740580688658397200,2502.2913972167967,9.983548508848344
1740580688753397200,2502.386397216797,10.527168703342014
1740580688848397300,2502.4813972167967,11.463187879807439
1740580688943397000,2502.576397216797,12.437784194690636
1740580689038397200,2502.671397216797,13.270143439567393
1740580689228397300,2502.861397216797,14.356932160469315
1740580689323397000,2502.956397216797,14.786700504462445
1740580689418397200,2503.051397216797,15.111390596137921
1740580689513397200,2503.1463972167967,15.363322050716105
1740580689608397300,2503.241397216797,15.540602082171391
1740580689703397000,2503.3363972167967,15.636575848879572
1740580689798397200,2503.431397216797,15.55204657236609
1740580689893397200,2503.526397216797,15.30084559101175
1740580689988397300,2503.621397216797,14.889210894903503
1740580690083397000,2503.716397216797,14.233803370955421
1740580690178397200,2503.8113972167966,13.379522573170966
1740580690273397200,2503.906397216797,12.222956718351499
1740580690368397300,2504.0013972167967,10.888532309144244
1740580690463397000,2504.096397216797,9.673207554699026
1740580690558397200,2504.1913972167968,8.88431891604502
1740580690653397200,2504.286397216797,8.551537493346217
1740580690748397300,2504.381397216797,8.584601093843933
1740580690843397000,2504.476397216797,8.972627137656632
1740580690938397200,2504.571397216797,9.790085176926755
1740580691033397200,2504.6663972167967,11.083113732033148
1740580691128397300,2504.761397216797,12.601096828774335
1740580691223397000,2504.8563972167967,14.082928208649614
1740580691318397200,2504.951397216797,15.18679638901849
1740580691413397200,2505.046397216797,16.319771922566005
1740580691508397300,2505.141397216797,18.37263171553131
1740580691603397000,2505.236397216797,20.973056732224585
1740580691698397200,2505.331397216797,23.951135667724788
1740580691793397200,2505.426397216797,27.169715921259638
1740580691888397300,2505.5213972167967,30.34820750173068
1740580691983397000,2505.616397216797,33.82380201355561
1740580692078397200,2505.7113972167967,37.2630957892978
1740580692268397300,2505.901397216797,40.83388028562391
1740580692363397000,2505.996397216797,40.525618123053334
1740580692458397200,2506.091397216797,38.76941214998093
1740580692553397200,2506.1863972167966,35.87986548903902
1740580692648397300,2506.281397216797,33.452868711695935
1740580692743397000,2506.3763972167967,31.581598433560348
1740580692838397200,2506.471397216797,30.2773132306532
1740580692933397200,2506.5663972167968,30.209745575203684
1740580693028397300,2506.661397216797,30.54737124215499
1740580693123397000,2506.756397216797,31.793652338919852
1740580693218397200,2506.851397216797,33.475719904321224
1740580693313397200,2506.946397216797,34.661790303047574
1740580693408397300,2507.0413972167967,34.741932398307675
1740580693503397000,2507.136397216797,33.27736253927302
1740580693598397200,2507.2313972167967,30.888885740929837
1740580693693397200,2507.326397216797,27.580220661284446
1740580693788397300,2507.421397216797,24.965977827499238
1740580693883397000,2507.516397216797,22.57329974488445
1740580693978397200,2507.611397216797,20.386408297056484
1740580694073397200,2507.706397216797,18.11224315636912
1740580694168397300,2507.801397216797,16.199864123311414
1740580694263397000,2507.8963972167967,15.985465643278374
1740580694358397200,2507.991397216797,16.761634253940127
1740580694453397200,2508.0863972167967,17.69045406894214
1740580694548397300,2508.181397216797,18.380135711766204
1740580694643397000,2508.276397216797,18.879093236021138
1740580694738397200,2508.371397216797,19.6176279402931
1740580694833397200,2508.466397216797,21.229619074527164
1740580694928397300,2508.5613972167966,22.65150634755683
1740580695023397000,2508.656397216797,23.047459666270676
1740580695118397200,2508.7513972167967,23.00528933275907
1740580695213397200,2508.846397216797,23.141374860230584
1740580695308397300,2508.9413972167968,23.109920430336597
1740580695403397000,2509.036397216797,22.360934702993795
1740580695498397200,2509.131397216797,20.524273903272316
1740580695593397200,2509.226397216797,22.04478663865544
1740580695688397300,2509.321397216797,24.59748022413045
1740580695783397000,2509.4163972167967,28.372733980390883
1740580695878397200,2509.511397216797,34.132099737633936
1740580695973397200,2509.6063972167967,41.42673798502861
1740580696068397300,2509.701397216797,48.9708632999031
1740580696163397000,2509.796397216797,57.72263835971343
1740580696258397200,2509.891397216797,65.73418189548548
1740580696353397200,2509.986397216797,69.51182916456382
1740580696448397300,2510.081397216797,72.43328447599801
1740580696543397000,2510.176397216797,74.10024863858577
1740580696638397200,2510.2713972167967,74.55905875128913
1740580696733397200,2510.366397216797,74.96366991393724
1740580696828397300,2510.4613972167967,77.20690601971128
1740580696923397000,2510.556397216797,80.74207878721064
1740580697018397200,2510.651397216797,85.01322817573806
1740580697113397200,2510.746397216797,89.97803918018342
1740580697208397300,2510.841397216797,95.30803289071986
1740580697398397200,2511.031397216797,105.86823664579158
1740580697493397200,2511.1263972167967,110.88401602110444
1740580697588397300,2511.221397216797,115.53222068351714
1740580697683397000,2511.3163972167968,119.54119496490755
1740580697778397200,2511.411397216797,122.9257091985867
1740580697873397200,2511.506397216797,125.57400415098957
1740580697968397300,2511.601397216797,127.7376271741156
1740580698063397000,2511.696397216797,129.42780219603623
1740580698158397200,2511.7913972167967,130.60635615413793
1740580698253397200,2511.886397216797,131.67342465180508
1740580698348397300,2511.9813972167967,132.69234142754675
1740580698443397000,2512.076397216797,134.55749093032043
1740580698538397200,2512.171397216797,137.7657600615926
1740580698633397200,2512.266397216797,142.7281077668069
1740580698728397300,2512.361397216797,148.7362689990565
1740580698823397000,2512.456397216797,154.65738638845144
1740580698918397200,2512.551397216797,158.29678855863537
1740580699013397200,2512.6463972167967,158.77955415368618
1740580699108397300,2512.741397216797,158.61556732035493
1740580699203397000,2512.8363972167967,159.82455476918335
1740580699298397200,2512.931397216797,160.84709655962516
1740580699393397200,2513.026397216797,159.85327196401593
1740580699488397300,2513.121397216797,158.4996543337186
1740580699583397000,2513.216397216797,157.48716940550014
1740580699678397200,2513.3113972167966,157.35779143089735
1740580699773397200,2513.406397216797,157.97283824896218
1740580699868397300,2513.5013972167967,158.51016076389598
1740580699963397000,2513.596397216797,157.10563979201805
1740580700058397200,2513.6913972167968,154.17445921157633
1740580700153397200,2513.786397216797,151.02468860188597
1740580700248397300,2513.881397216797,147.13954989193218
1740580700343397000,2513.976397216797,142.9302479358571
1740580700438397200,2514.071397216797,138.20828929980757
1740580700533397200,2514.1663972167967,132.49217000962474
1740580700628397300,2514.261397216797,126.46457313200447
1740580700723397000,2514.3563972167967,120.92010364727848
1740580700818397200,2514.451397216797,116.75325936088589
1740580700913397200,2514.546397216797,114.63950241909328
1740580701008397300,2514.641397216797,114.44106444871281
1740580701103397000,2514.736397216797,113.62937805638865
1740580701198397200,2514.831397216797,112.1530891492357
1740580701293397200,2514.926397216797,110.76072239392238
1740580701388397300,2515.0213972167967,109.14545758050878
1740580701483397000,2515.116397216797,108.03706636793402
1740580701578397200,2515.2113972167967,106.57596677501428
1740580701673397200,2515.306397216797,104.46758420974518
1740580701768397300,2515.401397216797,102.9108986464606
1740580701863397000,2515.496397216797,102.51970507308393
1740580701958397200,2515.591397216797,101.99689915415678
1740580702053397200,2515.6863972167966,101.82609670378505
1740580702148397300,2515.781397216797,102.03059569345977
1740580702243397000,2515.8763972167967,101.80243430775279
1740580702338397200,2515.971397216797,101.9901531623694
1740580702528397300,2516.161397216797,102.94007374337447
1740580702623397000,2516.256397216797,103.46520784096033
1740580702718397200,2516.351397216797,104.35425480304302
