time,seconds_elapsed,z,y,x
1740578190071587600,3.704587646484375,-27.887500762939453,-29.75,25.850000381469727
1740578190167837400,3.80083740234375,-27.30000114440918,-29.975000381469727,26.225000381469727
1740578190264087600,3.897087646484375,-26.850000381469727,-30.225000381469727,26.4375
1740578190360337400,3.99333740234375,-26.512500762939453,-30.48750114440918,26.537500381469727
1740578190456587500,4.08958740234375,-26.475000381469727,-30.875,26.287500381469727
1740578190552837400,4.18583740234375,-26.8125,-31.36250114440918,25.61250114440918
1740578190649087500,4.28208740234375,-27.875,-31.48750114440918,24.92500114440918
1740578190745337600,4.378337646484375,-29.162500381469727,-31.55000114440918,24.024999618530273
1740578190841587500,4.47458740234375,-30.462499618530273,-31.524999618530273,23.087499618530273
1740578190937837600,4.570837646484375,-31.850000381469727,-31.42500114440918,22
1740578191034087400,4.66708740234375,-33.4375,-31.137500762939453,20.899999618530273
1740578191130337500,4.763337646484375,-35.025001525878906,-30.649999618530273,19.98750114440918
1740578191226587400,4.85958740234375,-36.66250228881836,-29.8125,19.3125
1740578191322837500,4.95583740234375,-38.25,-28.8125,18.67500114440918
1740578191419087400,5.05208740234375,-39.337501525878906,-28.25,17.774999618530273
1740578191515337500,5.14833740234375,-40.212501525878906,-27.725000381469727,17.075000762939453
1740578191611587600,5.244587646484375,-41.20000076293945,-27.1875,16.200000762939453
1740578191707837400,5.34083740234375,-42.462501525878906,-26.212499618530273,14.65000057220459
1740578191804087600,5.437087646484375,-43.54999923706055,-25.25,12.162500381469727
1740578191900337400,5.53333740234375,-44.61249923706055,-24.387500762939453,9.33750057220459
1740578191996587500,5.62958740234375,-45.60000228881836,-23.512500762939453,6.450000286102295
1740578192092837400,5.72583740234375,-46.47500228881836,-22.524999618530273,3.625
1740578192189087500,5.82208740234375,-47.400001525878906,-21.274999618530273,0.8500000238418579
1740578192285337600,5.918337646484375,-48.28750228881836,-19.850000381469727,-2.174999952316284
1740578192381587500,6.01458740234375,-48.98749923706055,-18.55000114440918,-5.025000095367432
1740578192477837600,6.110837646484375,-49.28750228881836,-17.649999618530273,-7.012500286102295
1740578192574087400,6.20708740234375,-49.53750228881836,-16.787500381469727,-8.037500381469727
1740578192670337500,6.303337646484375,-49.78750228881836,-15.887499809265137,-8.862500190734863
1740578192766587400,6.39958740234375,-49.92499923706055,-15.050000190734863,-9.6875
1740578192862837500,6.49583740234375,-49.97500228881836,-14.33750057220459,-10.4375
1740578192959087400,6.59208740234375,-49.98749923706055,-13.787500381469727,-11.074999809265137
1740578193055337500,6.68833740234375,-49.85000228881836,-13.550000190734863,-11.475000381469727
1740578193151587600,6.784587646484375,-49.63750076293945,-13.537500381469727,-11.8125
1740578193247837400,6.88083740234375,-49.337501525878906,-13.75,-12.074999809265137
1740578193344087600,6.977087646484375,-49.125,-14.137499809265137,-12.237500190734863
1740578193440337400,7.07333740234375,-48.9375,-14.574999809265137,-12.324999809265137
1740578193536587500,7.16958740234375,-48.900001525878906,-14.9375,-12.237500190734863
1740578193632837400,7.26583740234375,-48.9375,-15.375,-12.0625
1740578193729087500,7.36208740234375,-48.95000076293945,-15.875,-11.762499809265137
1740578193825337600,7.458337646484375,-49.087501525878906,-16.3125,-11.387499809265137
1740578193921587500,7.55458740234375,-49.28750228881836,-16.55000114440918,-11.012499809265137
1740578194017837600,7.650837646484375,-49.61249923706055,-16.5625,-10.662500381469727
1740578194114087400,7.74708740234375,-49.875,-16.399999618530273,-10.412500381469727
